product_id,product_name,category,subcategory,brand,sku,mrp,selling_price,cost_price,gst_rate,hsn_code,weight_grams,supplier_id,rating,review_count,is_active,launch_date
PRD0001,Usha Smartphone Elite,Electronics,Smartphone,Usha,SKU-ELE-00001,92028,78958,55738,18,1144,250,SUP0198,4.3,3655,1,29-01-2025
PRD0002,Gizmore Smartphone Premium,Electronics,Smartphone,Gizmore,SKU-ELE-00002,91470,65917,48052,18,2857,2000,SUP0140,3.6,2321,1,17-05-2024
PRD0003,Fire-Boltt Smartphone Max,Electronics,Smartphone,Fire-Boltt,SKU-ELE-00003,148029,118800,68913,18,2349,250,SUP0113,3.5,4412,1,28-12-2024
PRD0004,Godrej Smartphone Elite,Electronics,Smartphone,Godrej,SKU-ELE-00004,152903,113203,80055,18,8130,250,SUP0068,4.5,1264,1,04-05-2023
PRD0005,HDFC Smartphone Elite,Electronics,Smartphone,HDFC,SKU-ELE-00005,18715,16226,8398,18,4729,1000,SUP0088,3.9,3700,1,27-11-2023
PRD0006,Orient Smartphone Base,Electronics,Smartphone,Orient,SKU-ELE-00006,41611,33013,16882,18,2189,1500,SUP0029,4.8,874,1,28-04-2025
PRD0007,Amul Smartphone Premium,Electronics,Smartphone,Amul,SKU-ELE-00007,100779,75798,45386,18,1504,3000,SUP0197,3.5,1806,1,02-09-2023
PRD0008,Hindusta Unilever Smartphone Pro,Electronics,Smartphone,Hindusta Unilever,SKU-ELE-00008,104428,80133,51155,18,3316,250,SUP0153,3.3,4696,1,28-06-2024
PRD0009,Titan Smartphone Max,Electronics,Smartphone,Titan,SKU-ELE-00009,75580,57064,34418,18,9397,500,SUP0153,3.5,1813,1,23-11-2022
PRD0010,Maruti Smartphone Elite,Electronics,Smartphone,Maruti,SKU-ELE-00010,22035,16257,8425,18,2103,1000,SUP0197,3.4,4761,1,02-05-2023
PRD0011,Marico Laptop Max,Electronics,Laptop,Marico,SKU-ELE-00011,33463,28226,16355,18,8383,1500,SUP0029,4.2,2509,1,02-05-2022
PRD0012,Usha Laptop Pro,Electronics,Laptop,Usha,SKU-ELE-00012,117840,84924,49111,18,4629,2000,SUP0057,3.7,2949,1,04-05-2023
PRD0013,V-Guard Laptop Elite,Electronics,Laptop,V-Guard,SKU-ELE-00013,127967,96041,50633,18,2343,1000,SUP0198,4.7,1151,1,31-07-2022
PRD0014,HDFC Laptop Base,Electronics,Laptop,HDFC,SKU-ELE-00014,29766,21765,14032,18,4485,100,SUP0001,4.1,4457,1,03-07-2024
PRD0015,Hindusta Unilever Laptop Lite,Electronics,Laptop,Hindusta Unilever,SKU-ELE-00015,119214,97897,60321,18,9362,250,SUP0113,3.9,4118,1,26-10-2022
PRD0016,ITC Laptop Lite,Electronics,Laptop,ITC,SKU-ELE-00016,156214,136777,87754,18,3395,3000,SUP0057,4.8,336,1,18-03-2024
PRD0017,Pidilite Laptop Elite,Electronics,Laptop,Pidilite,SKU-ELE-00017,115668,98845,71853,18,6918,2000,SUP0068,4.0,3729,1,13-09-2021
